name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage,Engine (CC)
5,-0.04337134739788929,0.25705286061930444,2.2634069395952827,1,1,1,0,0.0,0.0009104518926064284,1.6188938557773387,0.30371224478074144
3,-1.2888720328325387,-0.8627766495296166,1.7562662169563694,1,1,1,0,0.0,1.008400337428803,1.2904943468027537,0.9384645768161666
3,0.8907541666780977,0.20728266016824126,-0.49160076987557094,3,1,1,0,0.0,0.495839858162263,-1.0575621423655366,0.08498002225502059
8,-0.9774968614738763,-0.24064914389132716,0.7419847716785426,1,1,1,0,0.0,-0.4335695612448787,1.7748836225402682,0.8012208293490476
1,-0.3547465187565516,-0.9872021506572745,2.9076127224068755,1,1,1,0,0.0,-0.3706014433988664,-1.1725019705066422,0.951331178141209
3,-0.6661216901152139,0.5059038628746202,-0.27229667359928406,1,1,1,2,0.0,1.008400337428803,1.2904943468027537,0.9384645768161666
3,0.5793789953194354,1.401767470993757,1.0161148920239012,1,1,1,0,0.0,0.9284308277643677,0.9128349114819789,0.9384645768161666
4,-0.9774968614738763,-1.1166046718300386,1.0161148920239012,1,1,1,2,0.0,-0.6224739147829156,-0.35150319807017694,1.217240938858752
5,-0.6661216901152139,1.0036058673852517,0.24855055505689722,1,1,1,0,0.0,0.9328385960135881,0.05899618814805572,0.30371224478074144
7,1.2021293380367601,0.5059038628746202,-0.7657308902209295,3,1,1,0,0.0,0.6186276879619871,-0.9262023387757021,0.09355775647171552
5,0.5793789953194354,0.8791803662575939,-0.49160076987557094,3,1,1,0,0.0,0.5739203242913179,-0.02310368909559198,0.08498002225502059
5,1.2021293380367601,2.2478608786618306,0.029246458780610357,3,0,1,0,0.0,1.8427278988884659,-0.638852768422941,1.2215298059670994
7,-0.9774968614738763,-0.6636958477253639,1.5643751327146183,1,1,1,0,0.0,0.9328385960135881,-0.25298334537780026,0.30371224478074144
3,-0.9774968614738763,-1.0369723511083377,1.2902450123692597,3,1,1,3,0.0,0.309454229338067,-0.8769424124295152,0.08498002225502059
3,-0.3547465187565516,0.13262735949164653,-0.08040558935753307,1,1,1,0,0.0,0.9303198712997481,-0.12983352951233165,0.9384645768161666
5,1.5135045093954225,1.2524568696405676,-0.9027959503936088,3,1,1,0,0.0,0.5739203242913179,-0.02310368909559198,0.08498002225502059
